"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","parameter","univariate_scenario"
"307","current",2945681051.10602,133602.053681394,0,0,0,"all_65100_f_prop.uti2die","high"
"308","iFAST",2945074912.96261,133396.41974345,-606138.143407822,205.633937944309,4718816.902294,"all_65100_f_prop.uti2die","high"
"309","current",2643482561.92288,120328.938818023,0,0,0,"all_65100_f_p.uti2discharge_other","high"
"310","iFAST",2642950548.06354,120123.913948925,-532013.859336376,205.024869097819,4632511.24129275,"all_65100_f_p.uti2discharge_other","high"
"311","current",2945136728.16961,120328.714391758,0,0,0,"all_65100_f_p.bsi2discharge","high"
"312","iFAST",2944530796.67344,120142.733872432,-605931.496168613,185.980519325647,4325541.88268155,"all_65100_f_p.bsi2discharge","high"
"313","current",2945681051.10602,120355.608458231,0,0,0,"all_65100_m_prop.bsi2die","high"
"314","iFAST",2945074912.96261,120169.617767019,-606138.143407822,185.990691212181,4325951.96765143,"all_65100_m_prop.bsi2die","high"
"315","current",2945681051.10602,131068.953727937,0,0,0,"all_65100_m_prop.uti2die","high"
"316","iFAST",2945074912.96261,130867.129834177,-606138.143407822,201.823893759269,4642616.0185932,"all_65100_m_prop.uti2die","high"
"317","current",2748237896.19477,120336.061685348,0,0,0,"all_65100_m_p.uti2discharge_other","high"
"318","iFAST",2747679644.10242,120134.72667971,-558252.09234333,201.335005638466,4584952.20511265,"all_65100_m_p.uti2discharge_other","high"
"319","current",2945322587.94544,120328.714404027,0,0,0,"all_65100_m_p.bsi2discharge","high"
"320","iFAST",2944716585.38014,120142.733884697,-606002.565304279,185.980519330755,4325612.95191937,"all_65100_m_p.bsi2discharge","high"
"321","current",2945455053.87958,120263.926365702,0,0,0,"uncomplicated_1664_f_r.prev","high"
"322","iFAST",2944494112.19168,120002.471376951,-960941.68790102,261.454988750862,6190041.46291826,"uncomplicated_1664_f_r.prev","high"
"323","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_f_sensitivity.i","high"
"324","iFAST",2945035856.36418,120134.260965025,-645194.741843224,194.453461683093,4534263.97550509,"uncomplicated_1664_f_sensitivity.i","high"
"325","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_f_specificity.i","high"
"326","iFAST",2945054029.74771,120142.733907369,-627021.358308315,185.980519339413,4346631.74509658,"uncomplicated_1664_f_specificity.i","high"
"327","current",2945646646.93304,120321.250782004,0,0,0,"uncomplicated_1664_f_sensitivity.c","high"
"328","iFAST",2945074912.96261,120142.733907369,-571733.970421314,178.516874634646,4142071.46311424,"uncomplicated_1664_f_sensitivity.c","high"
"329","current",2945662841.31887,120328.714426708,0,0,0,"uncomplicated_1664_f_specificity.c","high"
"330","iFAST",2945074912.96261,120142.733907369,-587928.356252193,185.980519339428,4307538.74304075,"uncomplicated_1664_f_specificity.c","high"
"331","current",2945759463.30281,120328.714426708,0,0,0,"uncomplicated_1664_f_cost.empiricuti.U","high"
"332","iFAST",2945151111.19594,120142.733907369,-608352.106864452,185.980519339428,4327962.49365301,"uncomplicated_1664_f_cost.empiricuti.U","high"
"333","current",2945691322.68613,120328.714426708,0,0,0,"uncomplicated_1664_f_cost.empiricuti.current","high"
"334","iFAST",2945086662.54579,120142.733907369,-604660.140330791,185.980519339428,4324270.52711935,"uncomplicated_1664_f_cost.empiricuti.current","high"
"335","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_f_cost.empiricuti.ifast","high"
"336","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_1664_f_cost.empiricuti.ifast","high"
"337","current",2945693647.52936,120328.714426708,0,0,0,"uncomplicated_1664_f_cost.2ndline.U","high"
"338","iFAST",2945089321.91647,120142.733907369,-604325.612885952,185.980519339428,4323935.99967451,"uncomplicated_1664_f_cost.2ndline.U","high"
"339","current",2945676156.64129,120327.895881949,0,0,0,"complicated_IV_1664_f_r.prev","high"
"340","iFAST",2945063920.72032,120140.965866077,-612235.920967102,186.930015872436,4350836.23841583,"complicated_IV_1664_f_r.prev","high"
"341","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_f_sensitivity.i","high"
"342","iFAST",2945062782.88134,120140.833893673,-618268.224685669,187.880533034942,4375878.88538452,"complicated_IV_1664_f_sensitivity.i","high"
"343","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_f_specificity.i","high"
"344","iFAST",2945082310.17054,120142.733907369,-598740.935479641,185.980519339428,4318351.3222682,"complicated_IV_1664_f_specificity.i","high"
"345","current",2945670367.04768,120327.040913011,0,0,0,"complicated_IV_1664_f_sensitivity.c","high"
"346","iFAST",2945074912.96261,120142.733907369,-595454.085069656,184.3070056422,4281594.19791366,"complicated_IV_1664_f_sensitivity.c","high"
"347","current",2945687500.62949,120328.714426708,0,0,0,"complicated_IV_1664_f_specificity.c","high"
"348","iFAST",2945074912.96261,120142.733907369,-612587.6668787,185.980519339428,4332198.05366725,"complicated_IV_1664_f_specificity.c","high"
"349","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_f_cost.empiricuti.U","high"
