"",".id","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit"
"918",459,"iFAST",2836402961.29537,128983.36826499,-1852456.46318436,459.065418500657,11033764.8331975
"919",460,"current",3965348822.81407,133123.676909352,0,0,0
"920",460,"iFAST",3955228106.99388,132748.010272559,-10120715.8201914,375.666636792506,17634048.5560415
"921",461,"current",3973345068.4294,113042.847769285,0,0,0
"922",461,"iFAST",3968642926.25002,112716.233248527,-4702142.17937469,326.61452075759,11234432.5945265
"923",462,"current",4410761426.0004,118893.020353001,0,0,0
"924",462,"iFAST",4405363029.21477,118645.39349432,-5398396.78563786,247.626858680989,10350933.9592576
"925",463,"current",3855589986.3764,137228.13391619,0,0,0
"926",463,"iFAST",3852252354.10071,136789.373943473,-3337632.27568913,438.759972717555,12112831.7300402
"927",464,"current",3985670610.36863,121585.80604102,0,0,0
"928",464,"iFAST",3980644759.668,121557.539436732,-5025850.70063066,28.2666042880592,5591182.78639185
"929",465,"current",2787117270.88839,114384.582506056,0,0,0
"930",465,"iFAST",2783835009.65283,113264.632419321,-3282261.23556185,1119.95008673487,25681262.9702592
"931",466,"current",2760145744.60117,129889.852093361,0,0,0
"932",466,"iFAST",2755810944.70734,129433.436436176,-4334799.89382982,456.415657185556,13463113.037541
"933",467,"current",3658214378.53873,136438.987937345,0,0,0
"934",467,"iFAST",3651717909.18415,136160.640879029,-6496469.35457563,278.347058316431,12063410.5209043
"935",468,"current",2996046270.04429,118615.139292626,0,0,0
"936",468,"iFAST",2997643689.28369,118444.613788258,1597419.23940563,170.525504368095,1813090.84795628
"937",469,"current",3268484617.4129,134178.664449061,0,0,0
"938",469,"iFAST",3268986065.0994,134236.974031597,501447.68649292,-58.3095825354976,-1667639.33720287
"939",470,"current",4426892074.50493,131748.02236652,0,0,0
"940",470,"iFAST",4426239436.61609,131652.405122529,-652637.888840675,95.6172439918155,2564982.76867699
"941",471,"current",2365466000.70819,106646.33857558,0,0,0
"942",471,"iFAST",2365250729.41213,106548.104674396,-215271.296059608,98.2339011836739,2179949.31973309
"943",472,"current",3262522345.82673,132471.248163845,0,0,0
"944",472,"iFAST",3261388183.33655,132316.394608947,-1134162.49018431,154.853554898815,4231233.5881606
"945",473,"current",3408563021.45982,120664.641520145,0,0,0
"946",473,"iFAST",3407007126.16466,120659.409986426,-1555895.29516125,5.23153371913941,1660525.96954404
"947",474,"current",3839775567.10391,140037.712329959,0,0,0
"948",474,"iFAST",3839356321.67633,139580.139257923,-419245.427586555,457.573072036059,9570706.86830773
"949",475,"current",3643306720.73094,125231.074145869,0,0,0
"950",475,"iFAST",3642873498.56544,124910.567098467,-433222.165498734,320.507047402658,6843363.11355189
"951",476,"current",3647289020.88347,124421.657668437,0,0,0
"952",476,"iFAST",3641864303.10149,123987.542352745,-5424717.78198147,434.115315691699,14107024.0958154
"953",477,"current",3548617830.04497,101049.175978994,0,0,0
"954",477,"iFAST",3547819013.38095,100656.792449336,-798816.66402626,392.383529657105,8646487.25716836
"955",478,"current",3133676386.37132,119742.569316671,0,0,0
"956",478,"iFAST",3133837850.21026,119305.217000655,161463.838946342,437.352316015778,8585582.48136922
"957",479,"current",2975967612.05273,120918.158396055,0,0,0
"958",479,"iFAST",2969532500.38544,120897.692763302,-6435111.66729069,20.4656327530975,6844424.32235264
"959",480,"current",3361763138.07368,128053.156057879,0,0,0
"960",480,"iFAST",3357573836.61317,127723.399002074,-4189301.46051359,329.757055805545,10784442.5766245
"961",481,"current",2889537869.18605,133834.647960809,0,0,0
"962",481,"iFAST",2887417256.58933,131776.178850132,-2120612.59672546,2058.46911067716,43289994.8102688
"963",482,"current",4048434954.96298,126983.876870057,0,0,0
"964",482,"iFAST",4049391264.03502,127070.868504666,956309.072044849,-86.9916346081591,-2696141.76420803
"965",483,"current",3087365276.99003,120078.855356598,0,0,0
"966",483,"iFAST",3082658111.42706,119515.448403916,-4707165.56296396,563.406952682344,15975304.6166108
"967",484,"current",2414527935.74118,123070.900459697,0,0,0
"968",484,"iFAST",2413475640.78339,122956.861754084,-1052294.95779324,114.038705612562,3333069.07004447
"969",485,"current",3171177132.27825,140342.863847594,0,0,0
"970",485,"iFAST",3163750258.75827,139431.258483426,-7426873.51998234,911.605364167335,25658980.803329
"971",486,"current",2770270109.98294,111311.509028589,0,0,0
"972",486,"iFAST",2770601628.60016,110998.602674449,331518.617221832,312.906354140723,5926608.46559263
"973",487,"current",2662951743.56905,133395.073048497,0,0,0
"974",487,"iFAST",2664612022.7784,133511.907951373,1660279.20935345,-116.834902875824,-3996977.26686992
"975",488,"current",4007077403.35727,113422.091309434,0,0,0
"976",488,"iFAST",4004633859.46694,112910.137415968,-2443543.89033604,511.953893466649,12682621.759669
"977",489,"current",3634779892.5788,128036.560748061,0,0,0
"978",489,"iFAST",3633805923.07078,127763.261581768,-973969.508016586,273.299166292258,6439952.83386174
"979",490,"current",2776587216.85073,123323.982548245,0,0,0
"980",490,"iFAST",2775153964.37522,123144.912702462,-1433252.47551537,179.069845782898,5014649.39117333
"981",491,"current",4598301197.95266,109749.206102634,0,0,0
"982",491,"iFAST",4596833148.19036,109686.541087901,-1468049.76230717,62.6650147321925,2721350.05695102
"983",492,"current",4020172117.93908,141191.146009893,0,0,0
"984",492,"iFAST",4016741377.45512,140555.413116789,-3430740.48395538,635.732893104054,16145398.3460365
"985",493,"current",3227355919.08832,112146.673341769,0,0,0
"986",493,"iFAST",3229288224.28691,112183.85570614,1932305.19858742,-37.1823643707903,-2675952.48600322
"987",494,"current",2657331684.64881,105478.90816014,0,0,0
"988",494,"iFAST",2656245706.15744,105123.679594286,-1085978.49136925,355.228565853424,8190549.80843772
"989",495,"current",3521694163.60151,125814.987506563,0,0,0
"990",495,"iFAST",3519694983.51902,125562.146089315,-1999180.0824852,252.841417247691,7056008.42743903
"991",496,"current",4563929730.4375,133839.669650844,0,0,0
"992",496,"iFAST",4562500644.04399,133040.900295831,-1429086.39351177,798.769355013006,17404473.4937719
"993",497,"current",3708878798.8387,109343.986714716,0,0,0
"994",497,"iFAST",3709709038.27066,109426.050864371,830239.431957722,-82.0641496544267,-2471522.42504626
"995",498,"current",3052935279.80194,120167.633340661,0,0,0
"996",498,"iFAST",3049187514.39335,119431.702168613,-3747765.40859509,735.931172048382,18466388.8495627
"997",499,"current",3460436971.97181,120395.211168085,0,0,0
"998",499,"iFAST",3458426032.19725,120124.070716523,-2010939.77455759,271.140451562402,7433748.80580563
"999",500,"current",2629655031.53347,119133.635547008,0,0,0
"1000",500,"iFAST",2629539090.33633,119104.637424176,-115941.197142124,28.9981228316028,695903.65377418
"1001",501,"current",4048552751.4329,123867.818037232,0,0,0
"1002",501,"iFAST",4048990057.57935,123803.189949441,437306.146444321,64.6280877907993,855255.609371666
"1003",502,"current",3887041743.45699,126816.474742241,0,0,0
"1004",502,"iFAST",3887192262.84436,126593.437873352,150519.387375832,223.036868889438,4310217.99041292
"1005",503,"current",3052480596.89282,128570.908035062,0,0,0
"1006",503,"iFAST",3052421329.96455,128505.834677247,-59266.9282660484,65.0733578151994,1360734.08457004
"1007",504,"current",3057961219.46246,121597.488136127,0,0,0
"1008",504,"iFAST",3057699402.3802,121418.912513355,-261817.082253933,178.575622771779,3833329.53768952
"1009",505,"current",3761926290.89797,131457.071075907,0,0,0
"1010",505,"iFAST",3757448127.04324,131109.908831455,-4478163.85473251,347.162244451989,11421408.7437723
"1011",506,"current",3217059079.57331,133958.497908734,0,0,0
"1012",506,"iFAST",3213244858.22396,133413.669093921,-3814221.34935427,544.828814812587,14710797.645606
"1013",507,"current",4176170192.74789,113599.947897375,0,0,0
"1014",507,"iFAST",4176904172.16201,113481.280537859,733979.414124489,118.667359515719,1639367.77618989
"1015",508,"current",3527582332.36514,123134.839180259,0,0,0
"1016",508,"iFAST",3527224519.53013,122505.081762243,-357812.835010052,629.757418015899,12952961.195328
"1017",509,"current",4075380870.27756,142237.489966626,0,0,0
"1018",509,"iFAST",4075636423.69747,142083.090275174,255553.419914722,154.399691452476,2832440.4091348
"1019",510,"current",3157564015.84671,112774.207498001,0,0,0
"1020",510,"iFAST",3156867759.50069,112749.220242002,-696256.346017838,24.9872559995856,1196001.46600955
"1021",511,"current",2801357643.52014,107774.547931449,0,0,0
"1022",511,"iFAST",2799283590.41571,107464.833562521,-2074053.10442972,309.714368928398,8268340.48299769
"1023",512,"current",2974521649.08188,116479.983548188,0,0,0
"1024",512,"iFAST",2973851206.53168,116251.176765446,-670442.550199509,228.806782741784,5246578.20503518
"1025",513,"current",2494353263.12175,125249.178593057,0,0,0
"1026",513,"iFAST",2494518503.2787,124933.170490435,165240.156944275,316.008102621767,6154921.89549106
"1027",514,"current",3281186190.33271,131791.999555581,0,0,0
"1028",514,"iFAST",3275814310.41396,131390.070335039,-5371879.91875362,401.9292205417,13410464.3295876
"1029",515,"current",2818200104.8246,117992.211572521,0,0,0
"1030",515,"iFAST",2817613952.68939,117894.141098056,-586152.135207176,98.0704744649411,2547561.624506
"1031",516,"current",3877531803.71179,123207.388840012,0,0,0
"1032",516,"iFAST",3874273989.19541,122439.89690348,-3257814.51637411,767.491936532184,18607653.2470178
"1033",517,"current",3465966472.095,117249.858081521,0,0,0
"1034",517,"iFAST",3461986530.03824,116908.420646422,-3979942.05675507,341.437435099011,10808690.7587353
"1035",518,"current",3798829315.92439,122326.831948142,0,0,0
"1036",518,"iFAST",3797499729.55237,122239.041960357,-1329586.37202406,87.789987785698,3085386.12773802
"1037",519,"current",3254485629.38846,126115.061103099,0,0,0
"1038",519,"iFAST",3254406471.73486,126080.218934347,-79157.6535959244,34.8421687515656,776001.028627237
"1039",520,"current",4013859381.43663,124535.772093908,0,0,0
"1040",520,"iFAST",4012954236.68834,124321.86955191,-905144.748292446,213.902541998104,5183195.58825453
"1041",521,"current",4445788231.81182,103935.552217035,0,0,0
"1042",521,"iFAST",4443102524.39537,102861.2377163,-2685707.4164505,1074.31450073513,24171997.431153
"1043",522,"current",3431505609.56646,115629.872715444,0,0,0
"1044",522,"iFAST",3430001209.04469,115116.940219252,-1504400.52177715,512.932496192589,11763050.4456289
"1045",523,"current",3762317214.77488,118300.617753353,0,0,0
"1046",523,"iFAST",3764040997.56397,118355.482966099,1723782.78909302,-54.8652127465029,-2821087.04402308
"1047",524,"current",3026174885.50353,122018.711014512,0,0,0
"1048",524,"iFAST",3026003668.54467,121940.38390432,-171216.958856106,78.327110192462,1737759.16270535
"1049",525,"current",4171695717.3483,119420.800169599,0,0,0
"1050",525,"iFAST",4171624903.74424,119239.615397743,-70813.6040582657,181.184771855915,3694509.04117656
"1051",526,"current",3025972967.89898,112826.650145422,0,0,0
"1052",526,"iFAST",3024860317.35697,112455.862913041,-1112650.5420084,370.787232380928,8528395.18962696
"1053",527,"current",3773533519.56819,118605.898013501,0,0,0
